Rank;Bib;Name;Club;Sex;Category;Category_Rank;5km;10km;12km;15km;Finish;Time_Behind_Winner;Avg_Pace;0_5_pace;5_10_pace;10_15_pace;15_end_pace;0_5_10_diff;5_10_15_diff;10_15_end_diff;start_end_diff;0_5_average_diff;5_10_average_diff;10_15_average_diff;15_end_average_diff;10k_diff;Cluster_5;Cluster_5_Label;Cluster_8;Cluster_8_Label;Cluster_10;Cluster_10_Label
1;8381;BOUKEBAL AZIZ;S/L CA BALMA;Homme;SEH;1;00:15:23;00:30:12;;00:45:18;01:03:31;+0:00;180.6417974119543;184.6;177.8;181.2;179.2684927013285;-6.799999999999983;3.3999999999999773;-1.9315072986714767;-5.331507298671482;3.958202588045708;-2.841797411954275;0.5582025880457024;-1.3733047106257743;-0.9657536493357384;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
2;3750;REBECK JULIEN;CS BOURGOIN-JALLIEU *;Homme;SEH;2;00:15:24;00:30:12;00:37:56;00:45:21;01:03:56;+0:25;181.82680001896003;184.8;177.6;181.8;182.87682466786944;-7.200000000000017;4.200000000000017;1.076824667869431;-1.923175332130569;2.9731999810399827;-4.226800018960034;-0.02680001896001727;1.0500246489094138;1.1384123339347525;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
3;4351;BENKRITLY TANGUY;S/L PARIS UC;Homme;SEH;3;00:15:23;00:30:14;00:38:12;00:45:51;01:04:28;+0:57;183.34360335592737;184.6;178.2;187.4;183.20485484664587;-6.400000000000006;9.200000000000017;-4.195145153354133;-1.3951451533541217;1.2563966440726233;-5.143603355927382;4.056396644072635;-0.1387485092814984;3.902427423322962;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
4;4578;ALLALI NASSER;EA MACON;Homme;MAH1;1;00:15:24;00:30:14;00:38:12;00:45:52;01:04:29;+0:58;183.3910034602076;184.8;178.0;187.6;183.20485484664587;-6.800000000000011;9.599999999999994;-4.395145153354122;-1.5951451533541388;1.4089965397924118;-5.3910034602076;4.208996539792395;-0.18614861356172696;4.002427423322928;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
5;7539;MONTAUDON LUC;S/L STADE FRANCAIS (PARIS);Homme;SEH;4;00:15:24;00:30:13;00:38:12;00:45:51;01:04:31;+1:00;183.48580366876806;184.8;177.8;187.6;183.69690011481055;-7.0;9.799999999999983;-3.903099885189448;-1.1030998851894651;1.3141963312319547;-5.685803668768045;4.114196331231938;0.21109644604248956;4.348450057405273;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
6;8384;KADRI MEHDI;STADE SOTTEVILLAIS 76*;Homme;SEH;5;00:15:24;00:30:14;00:38:13;00:45:51;01:04:40;+1:09;183.9124046072901;184.8;178.0;187.4;185.17303591930457;-6.800000000000011;9.400000000000006;-2.2269640806954385;0.3730359193045558;0.8875953927098976;-5.912404607290114;3.487595392709892;1.2606313120144534;4.886517959652281;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
7;1555;CABLANT AUGUSTIN;S/L PAYS DE FONTAINEBLEAU - ATHLE SUD 77;Homme;SEH;6;00:15:25;00:30:14;00:38:13;00:45:51;01:05:07;+1:36;185.1922074228563;185.0;177.8;187.4;189.6014433327866;-7.199999999999989;9.599999999999994;2.201443332786596;4.601443332786602;-0.19220742285631331;-7.392207422856302;2.2077925771436924;4.409235909930288;7.100721666393298;2.0;Steady pace;0.0;Steady + hills struggles;4.0;Steady pace
8;7934;XOLIN PIERRE;ZOOM VOLT RUNNERS;Homme;SEH;7;00:15:30;00:30:41;00:38:42;00:46:23;01:05:23;+1:52;185.95060909134;186.0;182.2;188.4;186.97720190257502;-3.8000000000000114;6.200000000000017;-1.4227980974249874;0.9772019025750183;0.04939090866000129;-3.75060909134001;2.449390908660007;1.0265928112350196;3.588600951287532;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
9;3352;CAMPION BENOÎT;STADE BRESTOIS *;Homme;SEH;8;00:15:29;00:30:48;00:39:03;00:46:51;01:05:36;+2:05;186.56681044698297;185.8;183.8;192.6;184.51697556175168;-2.0;8.799999999999983;-8.083024438248316;-1.283024438248333;-0.7668104469829586;-2.7668104469829586;6.033189553017024;-2.0498348852312915;3.7584877808758392;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
10;4355;MOREAU GUILLAUME;PESSAC AC;Homme;MAH1;2;00:15:53;00:31:26;;00:47:06;01:05:38;+2:07;186.66161065554343;190.6;186.6;188.0;182.38477939970477;-4.0;1.4000000000000057;-5.615220600295231;-8.215220600295225;3.938389344456567;-0.06161065554343281;1.3383893444565729;-4.276831255838658;-3.40761030014761;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
11;8468;DETOURBE PIERRE-LOUIS;A COUREURS DE FOND DU CATEAU;Homme;SEH;9;00:15:28;00:30:48;;00:46:50;01:05:51;+2:20;187.27781201118643;185.6;184.0;192.4;187.14121699196326;-1.5999999999999943;8.400000000000006;-5.258783008036744;1.5412169919632674;-1.6778120111864325;-3.277812011186427;5.122187988813579;-0.13659501922316508;4.970608495981622;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
12;8122;LAURENT MAËL;S/L AC NARBONNE MEDITERRANEE;Homme;SEH;10;00:15:55;;;00:47:06;01:05:56;+2:25;187.51481253258757;191.0;187.1;187.1;185.33705100869278;-3.9000000000000057;0.0;-1.762948991307212;-5.662948991307218;3.4851874674124304;-0.41481253258757533;-0.41481253258757533;-2.1777615238947874;-2.831474495653623;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
