Pl.	Dos	Nom	Club	Sx	Cat	Par cat.	5km	10km	12km	15km	Temps
1.	8381	FRBOUKEBAL AZIZ	S/L CA BALMA	Homme	SEH	1	0:15:23	0:30:12		0:45:18	1:03:31
2.	3750	FRREBECK JULIEN	CS BOURGOIN-JALLIEU *	Homme	SEH	2	0:15:24	0:30:12	0:37:56	0:45:21	1:03:56
3.	4351	FRBENKRITLY TANGUY	S/L PARIS UC	Homme	SEH	3	0:15:23	0:30:14	0:38:12	0:45:51	1:04:28
4.	4578	FRALLALI NASSER	EA MACON	Homme	M0H	1	0:15:24	0:30:14	0:38:12	0:45:52	1:04:29
5.	7539	FRMONTAUDON LUC	S/L STADE FRANCAIS (PARIS)	Homme	SEH	4	0:15:24	0:30:13	0:38:12	0:45:51	1:04:31
6.	8384	FRKADRI MEHDI	STADE SOTTEVILLAIS 76*	Homme	SEH	5	0:15:24	0:30:14	0:38:13	0:45:51	1:04:40
7.	1555	FRCABLANT AUGUSTIN	S/L PAYS DE FONTAINEBLEAU - ATHLE SUD 77	Homme	SEH	6	0:15:25	0:30:14	0:38:13	0:45:51	1:05:07
8.	7934	FRXOLIN PIERRE	ZOOM VOLT RUNNERS	Homme	SEH	7	0:15:30	0:30:41	0:38:42	0:46:23	1:05:23
9.	3352	FRCAMPION BENOÎT	STADE BRESTOIS *	Homme	SEH	8	0:15:29	0:30:48	0:39:03	0:46:51	1:05:36
10.	4355	FRMOREAU GUILLAUME	PESSAC AC	Homme	M0H	2	0:15:53	0:31:26		0:47:06	1:05:38
11.	8468	FRDETOURBE PIERRE-LOUIS	A COUREURS DE FOND DU CATEAU	Homme	SEH	9	0:15:28	0:30:48		0:46:50	1:05:51
12.	8122	FRLAURENT MAËL	S/L AC NARBONNE MEDITERRANEE	Homme	SEH	10	0:15:55			0:47:06	1:05:56
13.	6736	FRPALLIERNE JULIEN	NANTES EC	Homme	SEH	11	0:15:54	0:31:19	0:39:21	0:46:59	1:06:03
14.	7943	DZSALMI MUSTAPHA		Homme	SEH	12	0:15:54	0:31:26	0:39:31	0:47:12	1:06:03
15.	4203	FRPANCHE CLÉMENT	NANTES EC	Homme	SEH	13	0:15:54	0:31:25	0:39:29	0:47:09	1:06:04
16.	6636	FRBOUCARD MATIS	S/L STADE NANTAIS AC	Homme	SEH	14	0:15:55	0:31:25	0:39:29	0:47:12	1:06:06
17.	7936	FRCHENAIS JOAN	S/L AC ST GRATIEN-SANNOIS	Homme	SEH	15	0:15:54	0:31:24	0:39:28	0:47:11	1:06:09
18.	6985	FRLANGIN PIERRE	S/L ATHLE THEIX	Homme	SEH	16	0:15:54	0:31:25	0:39:29	0:47:09	1:06:11
19.	667	FRLE COQ GURVAN	TREGUEUX LANGUEUX ATHLETISME	Homme	SEH	17	0:15:54	0:31:26	0:39:29	0:47:09	1:06:22
20.	7857	FRDJERBOUA THOMAS	RUN UP NANTERRE	Homme	SEH	18	0:15:56	0:31:25	0:39:29	0:47:12	1:06:27
21.	6801	FRROZALSKI ANTHONY	C.O.S. VILLERS ATHLETISME	Homme	M0H	3	0:15:37	0:31:08	0:39:26	0:47:12	1:06:29
22.	2497	PAUTRET FRANÇOIS	S/L U.S.O MONDEVILLE	Homme	SEH	19	0:15:56	0:31:25	0:39:30	0:47:12	1:06:34
23.	691	FRDESCHAMPS-GAYOT VALENTIN	SATUC TOULOUSE ATHLE	Homme	M0H	4	0:16:08	0:31:49		0:47:47	1:06:45
24.	3757	GBHOBBS JOSHUA		Homme	SEH	20	0:16:11	0:31:54	0:40:04	0:47:47	1:06:50
25.	1649	FRBERNARD ANTOINE	RUN UP NANTERRE	Homme	SEH	21	0:15:55	0:31:26	0:39:30	0:47:13	1:06:51
26.	2967	FRHOCQUETTE THIBAUT	EA PAYS DE BROCELIANDE	Homme	SEH	22	0:16:13	0:31:54	0:40:12	0:48:01	1:06:55
27.	674	FRLE DOUSSAL ERWANN	SPN VERNON*	Homme	SEH	23	0:15:55	0:31:26	0:39:35	0:47:29	1:07:01
28.	5508	FRHUGUET RONAN	S/L ESC OCEAN 44 SAINT NAZAIRE	Homme	SEH	24	0:16:02	0:31:41	0:39:54	0:47:44	1:07:02
29.	1499	PELLICIER CORENTIN	UNION OLYMPIQUE ALBERTVILLE TARENTAISE*	Homme	SEH	25	0:15:59	0:31:41	0:39:55	0:47:47	1:07:04
30.	1125	FRHENNION ALEXANDRE	ZOOM VOLT RUNNERS	Homme	SEH	26	0:15:59	0:31:26	0:39:31	0:47:27	1:07:05
31.	6910	FRSOULET MAXENCE	STADE BORDELAIS ATHLETISME*	Homme	SEH	27	0:16:12	0:31:55	0:40:12	0:48:07	1:07:09
32.	7931	FRPRIGENT FABIEN	S/L AS AIX-LES-BAINS	Homme	SEH	28	0:16:01	0:31:43	0:40:04	0:47:59	1:07:17
33.	2741	FRLE HEN ROBIN	ZOOM VOLT RUNNERS	Homme	SEH	29	0:16:08	0:31:54	0:40:16	0:48:07	1:07:24
34.	6612	FRBAILLY SIDNEY	US TALENCE*	Homme	M1H	1	0:16:12	0:31:56	0:40:12	0:48:06	1:07:25
35.	1107	FRNEGRE ARNAUD	ZOOM VOLT RUNNERS	Homme	M0H	5	0:16:12	0:31:54	0:40:12	0:48:07	1:07:27
36.	665	FRHOUSTIN THIBAUD	EC ORLEANS CERCLE JULES FERRY*	Homme	M0H	6	0:15:59	0:31:42	0:39:57	0:47:50	1:07:27
37.	1853	FRMEZZOUR ISMAIL	S/L AVIA CLUB ATHLETISME	Homme	SEH	30	0:16:12	0:32:02	0:40:16	0:48:07	1:07:27
38.	4588	FRDIVERRES MATTHIEU	QUIMPER ATHLETISME	Homme	M1H	2	0:15:55	0:31:26	0:39:30	0:47:17	1:07:29
39.	5434	FRBAVEREL LUCAS	LONS ATHLE 39	Homme	SEH	31	0:16:11	0:31:54	0:40:12	0:48:07	1:07:32
40.	5506	FRMICHEL ARNAUD	SPORTING CLUB ABBEVILLOIS ATHLETISME	Homme	M0H	7	0:16:11	0:31:54	0:40:12	0:48:07	1:07:32
41.	2160	FRPRIME DORIAN	OLYMPIQUE DE MARSEILLE ATHLE*	Homme	SEH	32	0:15:59	0:31:41	0:40:01	0:48:01	1:07:33
42.	8385	FRCAU QUENTIN	RACING MULTI ATHLON	Homme	M0H	8	0:16:13	0:31:55	0:40:12		1:07:35
43.	7935	FRGUILLEMOT FRANCK		Homme	SEH	33	0:16:11	0:31:54	0:40:12		1:07:36
44.	7312	FRGUINANDIE JULIEN	AUNIS A. LA ROCHELLE AYTRE*	Homme	SEH	34	0:16:10	0:31:54	0:40:11	0:48:06	1:07:37
45.	2944	FRPOIRIER ARTHUR	JOUE RUNNING 37	Homme	SEH	35	0:15:55	0:31:27	0:39:49	0:47:51	1:07:39
46.	7938	FRPOULIN VALENTIN	S/L TA RENNES	Homme	ESH	1		0:31:53	0:40:12	0:48:06	1:07:42
47.	4304	FRDE VERNEJOUL MATHIAS	NANTES EC	Homme	SEH	36	0:15:56	0:31:26	0:39:41	0:47:47	1:08:07
48.	923	FRBILLAUD JONATHAN	GRAND ANGOULEME ATHLETISME	Homme	M0H	9	0:15:54	0:31:28	0:39:46	0:47:45	1:08:13
49.	5054	FRLAPLANCHE FLORIAN		Homme	SEH	37	0:16:11	0:32:00	0:40:22	0:48:27	1:08:14
50.	950	FRCHALIER EMILE	VINEUIL SPORTS	Homme	SEH	38	0:16:11		0:40:13	0:48:18	1:08:14
51.	6047	FRCHARMION PIERRE	SAM PARIS 12	Homme	M0H	10	0:16:19	0:32:20	0:40:41	0:48:37	1:08:15
52.	3864	FRRIO ALEXANDRE		Homme	SEH	39	0:16:12	0:31:55	0:40:17	0:48:24	1:08:17
53.	7926	FRPERRAULT CHARLES	CLAMART CHATILLON RUNNING 92	Homme	SEH	40	0:16:12	0:31:59	0:40:18	0:48:14	1:08:21
54.	7929	FRDELAHAYE THIBAUT	CLAMART CHATILLON RUNNING 92	Homme	SEH	41	0:16:15	0:32:08	0:40:38	0:48:38	1:08:25
55.	7050	FRBERTRON CÉDRIC	CJF SAINT-MALO	Homme	SEH	42	0:15:55	0:31:28	0:39:58	0:48:08	1:08:32
56.	4773	FRMEUNIER ROMAIN	ZOOM VOLT RUNNERS	Homme	SEH	43	0:16:00	0:31:44	0:40:13	0:48:27	1:08:34
57.	6938	FRGOYON ENZO	GRAND ANGOULEME ATHLETISME	Homme	ESH	2	0:15:59	0:31:41	0:40:05	0:48:15	1:08:34
58.	1532	PERRIN-PELLETIER MARC	S/L MAISONS-LAFFITTE ATHLETISME	Homme	M0H	11	0:16:22	0:32:19	0:40:46	0:48:51	1:08:37
59.	7930	FRLESCOP CORENTIN	STADE BRESTOIS *	Homme	SEH	44	0:16:24	0:32:31	0:40:57	0:48:59	1:08:38
60.	5370	FRPOCHET MAXIME	EA CERGY PONTOISE ATHLETISME *	Homme	SEH	45	0:16:12	0:31:55	0:40:15	0:48:22	1:08:38
61.	6847	FRFERNANDEZ FLORIAN	STADE BRESTOIS *	Homme	SEH	46	0:16:36	0:32:32	0:40:56	0:48:58	1:08:38
62.	668	FROLLIER SIMON	UA MAURIENNE (ST-JEAN)	Homme	SEH	47	0:16:35	0:32:20		0:48:49	1:08:56
63.	992	FRLEGRAND HUGO	EA PAYS DE BROCELIANDE	Homme	SEH	48	0:16:49	0:33:04	0:41:36	0:49:41	1:09:01
64.	672	FRLAMOTTE THÉO	EA CERGY PONTOISE ATHLETISME *	Homme	ESH	3	0:16:11	0:32:01	0:40:41	0:48:52	1:09:08
65.	7933	FRBERQUEZ ADRIEN	AVENIR SOCIAL DE SIN LE NOBLE	Homme	SEH	49	0:16:24	0:32:24	0:41:00	0:49:08	1:09:08
66.	6032	PKHUSSAIN SADDAM	PIERREFITTE MULTI ATHLON VILLETANEUSE	Homme	SEH	50	0:16:00	0:31:55	0:40:23	0:48:40	1:09:11
67.	6824	FRRENOU ANTHONY	NANTES EC	Homme	SEH	51	0:16:38	0:32:45	0:41:17	0:49:22	1:09:16
68.	6637	FRJEGOU KAELIG	S/L STADE NANTAIS AC	Homme	SEH	52	0:15:54	0:31:25	0:39:30	0:47:17	1:09:16
69.	3061	FRJULIEN ETIENNE	SAINT MALO SPORTS LOISIRS	Homme	M1H	3	0:16:37	0:32:58	0:41:36	0:49:43	1:09:22
70.	4641	FRSIMONIN THÉO	TEAM LENGLEN ATHLETIC CLUB	Homme	SEH	53	0:16:24	0:32:32	0:41:00	0:49:17	1:09:23
71.	7527	FRGIRAULT VALENTIN	ZOOM VOLT RUNNERS	Homme	SEH	54	0:16:51	0:33:04	0:41:36	0:49:42	1:09:23
72.	8714	FRMATHIS CLÉMENT		Homme	SEH	55	0:16:56	0:33:03	0:41:34	0:49:40	1:09:23
73.	5783	FRNIVOLE DIMITRI	PARIS SPORT CLUB	Homme	SEH	56	0:16:49	0:33:02		0:49:40	1:09:23
74.	8073	FRRIOU NICOLAS	TEAM LENGLEN ATHLETIC CLUB	Homme	SEH	57	0:16:23	0:32:26	0:41:01	0:49:17	1:09:25
75.	5379	FRLE GRAND BENJAMIN	QUIMPER ATHLETISME	Homme	M1H	4	0:16:45	0:32:59	0:41:31	0:49:37	1:09:26
76.	709	FRBEN ALI MEHDI	UNION OLYMPIQUE ALBERTVILLE TARENTAISE*	Homme	M0H	12	0:16:55	0:33:05	0:41:35	0:49:41	1:09:27
77.	7939	FRLE PALUD FRANÇOIS	SO HOUILLES	Homme	SEH	58	0:16:49	0:33:03	0:41:35	0:49:42	1:09:29
78.	4316	FRRANNOU JULES	S/L AURORE VITRE	Homme	SEH	59	0:16:51	0:33:03	0:41:37	0:49:43	1:09:30
79.	7513	FRBOURG ROMAIN	SAM PARIS 12	Homme	SEH	60	0:16:48	0:33:02	0:41:33	0:49:40	1:09:31
80.	7995	FRDREUX JULIEN		Homme	M1H	5	0:16:27	0:32:46	0:41:22	0:49:36	1:09:36
81.	669	FRCHARPENTIER JEREMIE	EA CERGY PONTOISE ATHLETISME *	Homme	M0H	13	0:16:35	0:32:57	0:41:28	0:49:42	1:09:37
82.	676	FRWHITBECK NICHOLAS		Homme	M0H	14	0:16:48	0:33:02		0:49:41	1:09:37
83.	7973	FRSORBELLI MATTÉO	AO CHARENTON	Homme	M0H	15	0:16:49	0:33:03	0:41:35	0:49:43	1:09:38
84.	1163	FRLECLERCQ CÉDRIC		Homme	SEH	61	0:16:48	0:33:00	0:41:32	0:49:39	1:09:39
85.	2932	FRFAROUX FLORIAN	REVEIL SPORTIF DE ST CYR/LOIRE	Homme	SEH	62	0:16:26	0:32:25	0:40:55	0:49:07	1:09:40
86.	2968	FRPIEDVACHE ALEXANDRE	EA PAYS DE BROCELIANDE	Homme	SEH	63	0:16:49	0:33:03	0:41:36	0:49:42	1:09:41
